step_number;time_stamp;limb_initial;limb_final;step_width;step_length;step_time;target_error;message
1;2.3425281474532;R;R;0.1248033752056;0.11255944163841;0.42999999999961;-1;free
2;3.2058614807858;R;L;0.17943144358449;0.76884651737298;1.5121302407382;-1;free
3;4.0025281474517;L;R;0.22631977127731;0.3315930730816;0.68999999999937;-1;free
4;4.704861314766;R;L;0.18374819621616;0.54756867542222;0.84999999999923;-1;free
5;5.4881946480986;L;R;0.18027878524397;0.37154268689141;0.64899983398098;-1;free
6;6.2681946480979;R;L;0.20983751667209;0.53557935199685;0.87666666666587;-1;free
7;7.0408336018966;L;R;0.18480963318607;0.42728945207554;0.70333333333269;-1;free
8;7.7541669352293;R;L;0.20450166615833;0.48298298003293;0.79597228713203;-1;free
9;8.5526704256971;L;R;0.17464414845505;0.42025242280917;0.71333333333268;-1;free
10;9.2526704256965;R;L;0.18063186054518;0.48776340466733;0.79850349046785;-1;free
11;10.049337092362;L;R;0.190877228959;0.40835138215978;0.67333333333272;-1;free
12;10.739785212086;R;L;0.18930241404936;0.48073734753515;0.83911016150961;-1;free
13;11.479971183865;L;R;0.21128591487269;0.4035726049897;0.66152392999285;-1;free
14;12.278372967371;R;L;0.21213087753015;0.4826598162887;0.74173511683907;-1;free
15;13.08837296737;L;R;0.20479833968108;0.46318706188153;0.80999999999926;-1;free
16;13.845039634036;R;L;0.19252979620212;0.48786644802044;0.82333333333258;-1;free
17;14.613034532808;L;R;0.20536837242397;0.42899370298342;0.72666666666601;-1;free
18;15.383034532807;R;L;0.20397667425896;0.49358184145452;0.7713282321055;-1;free
19;16.139701199473;L;R;0.19074489556365;0.44594236888859;0.79666666666594;-1;free
20;16.921920789952;R;L;0.18637617141643;0.47510089435553;0.74333333333266;-1;free
21;17.678587456618;L;R;0.19479226914253;0.42369630268466;0.79555292381238;-1;free
22;18.431920789951;R;L;0.1973388067966;0.47275047960257;0.74333333333266;-1;free
23;19.188587456617;L;R;0.20486459532622;0.46724916257833;0.7699999999993;-1;free
24;19.97192078995;R;L;0.21239511337833;0.44697862815832;0.73999999999933;-1;free
25;20.808587456616;L;R;0.20840286897547;0.47850644035313;0.78333333333262;-1;free
26;21.565254123282;R;L;0.19195844975966;0.51264486484499;0.85333333333256;-1;free
27;22.375254123281;L;R;0.19497960832712;0.46849325523351;0.77999999999929;-1;free
28;23.10525412328;R;L;0.19925802842666;0.42539527196859;0.75666666666598;-1;free
29;23.888587456613;L;R;0.20242424086877;0.47403596334432;0.7699999999993;-1;free
30;24.641920789945;R;L;0.20961823082413;0.45538043928121;0.75666666666598;-1;free
31;25.425254123278;L;R;0.20877464283241;0.46474157590841;0.75666666666598;-1;free
32;26.128545628091;R;L;0.19706217812356;0.48755827569935;0.79666666666594;-1;free
33;26.897999461262;L;R;0.20263473792909;0.42864311043822;0.68662483814671;-1;free
34;27.667999461261;R;L;0.22570999162255;0.43796321157715;0.76945383317081;-1;free
35;28.450888664684;L;R;0.21383979830133;0.46386970844243;0.78333333333262;-1;free
36;29.16755533135;R;L;0.22381148154491;0.48862260505742;0.80955587008876;-1;free
37;29.990888664682;L;R;0.23046665590008;0.42020256757715;0.64999999999941;-1;free
38;30.797757514576;R;L;0.20989313421543;0.4858531464574;0.83333333333258;-1;free
